user_name,bid_no,name_of_work,category,department_name,quantity,emd,exemption_allowed,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
mahi,GEM/2025/B/6430590,Custom Bid for Services - Outsourcing of Artisans  Mason Plumber Carpenter etc along with helpers f,,Ministry of Railways - Indian Railways,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8064123,https://bidplus.gem.gov.in/showbidDocument/8064123,02-08-2025 17:00:00
mahi,GEM/2025/B/6369763,"MOT, SQIM, 415V, 250 ML, 4P, 55KW,MOT, SQIM DOL, 415V, 4P, 37KW,MOT, SQIM DOL, 415V, 160ML, 4 POLE,",,Ministry of Steel - Rashtriya Ispat Nigam Limited,20,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7995236,https://bidplus.gem.gov.in/showbidDocument/7995236,02-08-2025 12:00:00
mahi,GEM/2025/B/6439439,Custom Bid for Services - Outsourcing of Artisans  Mason  Plumber Carpenter etc  along with helpers,,Ministry of Railways - Indian Railways,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8073992,https://bidplus.gem.gov.in/showbidDocument/8073992,02-08-2025 17:00:00
mahi,GEM/2025/B/6413189,Custom Bid for Services - Outsourcing of Artisans Mason Plumber Carpenter etc along with helpers fo,,Ministry of Railways - Indian Railways,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8044414,https://bidplus.gem.gov.in/showbidDocument/8044414,02-08-2025 17:00:00
mahi,GEM/2025/B/6437586,Custom Bid for Services - Outsourcing of Artisans  Mason Plumber Carpenter etc along with helpers f,,Ministry of Railways - Indian Railways,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8071934,https://bidplus.gem.gov.in/showbidDocument/8071934,02-08-2025 17:00:00
mahi,GEM/2025/B/6338105,"MBEU34505(PARACHUTE ASSY, DROGUE),MBEU34010(LINE CONNECTING, DROGUE),MBEU119144(HARNESS ASSEMBLY)",,Ministry of Defence - Department of Military Affairs,57,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7959560,https://bidplus.gem.gov.in/showbidDocument/7959560,02-08-2025 13:00:00
mahi,GEM/2025/B/6379476,"LED blinker for solar signal unit,Solar module for solar signal unit",,Ministry of Steel - Rashtriya Ispat Nigam Limited,12,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8006411,https://bidplus.gem.gov.in/showbidDocument/8006411,02-08-2025 11:00:00
mahi,GEM/2025/B/6421086,Horn Loudspeaker,,Department of Space - Department of Space,10,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8053245,https://bidplus.gem.gov.in/showbidDocument/8053245,02-08-2025 18:00:00
mahi,GEM/2025/B/6378065,"Annual Maintenance service-AIR CONDITIONER,Annual Maintenance service-AIR CONDITIONER,Annual Mainte",,Ministry of Power - NA,27,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8004852,https://bidplus.gem.gov.in/showbidDocument/8004852,02-08-2025 11:00:00
mahi,GEM/2025/B/6441419,SUPPLY OF HIGH PRECISION LARGE LINEAR DIMENSION MEASURING INSTRUMENT,,Department of Space - Department of Space,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8076236,https://bidplus.gem.gov.in/showbidDocument/8076236,02-08-2025 09:00:00
mahi,GEM/2025/B/6379476,"LED blinker for solar signal unit,Solar module for solar signal unit",,Ministry of Steel - Rashtriya Ispat Nigam Limited,12,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8006411,https://bidplus.gem.gov.in/showbidDocument/8006411,02-08-2025 11:00:00
mahi,GEM/2025/B/6351144,"Electrolyte Reagent Packs-Promea,Electrolyte Cleaner-15x6 ml-Promea,Electrolyte urine diluents-Prom",,Ministry of Labour and Employment - Employees State Insuarnce Corporation,22,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7974401,https://bidplus.gem.gov.in/showbidDocument/7974401,02-08-2025 09:00:00
mahi,GEM/2025/B/6351142,"PT Test Reagent-10x2 ml,APTT test Reagent-10x2 ml,Calcium Chloride Reagent-25 ml,PT/APTT Controls,P",,Ministry of Labour and Employment - Employees State Insuarnce Corporation,6051,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7974399,https://bidplus.gem.gov.in/showbidDocument/7974399,02-08-2025 09:00:00
mahi,GEM/2025/B/6351139,"ERBA REAGENT 1,ERBA REAGENT 2,ERBA REAGENT 3,ERBA REAGENT 4,ERBA REAGENT 5,ERBA REAGENT 6,ERBA REAG",,Ministry of Labour and Employment - Employees State Insuarnce Corporation,320,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7974396,https://bidplus.gem.gov.in/showbidDocument/7974396,02-08-2025 09:00:00
mahi,GEM/2025/B/6351138,"LABORATORY CONSUMABLE 1,LABORATORY CONSUMABLE 2,LABORATORY CONSUMABLE 3,LABORATORY CONSUMABLE 4,LAB",,Ministry of Labour and Employment - Employees State Insuarnce Corporation,131638,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7974395,https://bidplus.gem.gov.in/showbidDocument/7974395,02-08-2025 09:00:00
mahi,GEM/2025/B/6333470,Sip Loader Slew Encoder,,Ministry of Mines - Materials,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7954408,https://bidplus.gem.gov.in/showbidDocument/7954408,02-08-2025 10:00:00
mahi,GEM/2025/B/6421414,Custom Bid for Services - Provding Internet leasedline connections for CCC & EM locking system,,Ministry of Petroleum and Natural Gas - Bharat Petroleum Corporation Ltd,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8053625,https://bidplus.gem.gov.in/showbidDocument/8053625,02-08-2025 15:00:00
mahi,GEM/2025/B/6393228,Custom Bid for Services - Custom Bid for Services - Rate Contract For Supply of Orthopaedic Trauma ,,Ministry of Labour and Employment - Employees State Insuarnce Corporation,106,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8021863,https://bidplus.gem.gov.in/showbidDocument/8021863,02-08-2025 13:00:00
mahi,GEM/2025/B/6339838,"EF3020B-F11031(STOP PUSH BUTTON RED),EF3020B-7692-3205(150MM FIRE SAFE VALVE-TYPE IV),EF3020B-7692-",,Ministry of Defence - Department of Military Affairs,18,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7961507,https://bidplus.gem.gov.in/showbidDocument/7961507,02-08-2025 11:00:00
